model,phase,epoch,train_loss,valid_loss,accuracy,f1_score,precision_score,recall_score,ckpt,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_macro,classification_report
resnet34,transfer,0,1.7846331596374512,1.1229363679885864,0.5750921964645386,0.4316335203819441,0.421333927199497,0.4727039967338268,,,,,,,
resnet34,transfer,1,1.3715739250183103,0.8586295247077942,0.6694185733795166,0.4789627323744415,0.4909328883759916,0.4739247752901739,,,,,,,
resnet34,transfer,2,1.191985249519348,0.771145761013031,0.7027928829193115,0.5043016108680242,0.55103001552817,0.4803253892720033,,,,,,,
resnet34,transfer,3,1.0666521787643433,0.7240407466888428,0.7200070023536682,0.5314786217218297,0.5951736962481565,0.5056963468706752,,,,,,,
resnet34,transfer,4,0.9752432703971864,0.70250004529953,0.7187774181365967,0.5221506921575487,0.615957508796412,0.4920572752905534,,,,,,,
resnet34,transfer,5,0.9131746888160706,0.6779379844665527,0.7368698120117188,0.5575925724355617,0.6446063098660055,0.520514532647167,,,,,,,
resnet34,transfer,6,0.8802374005317688,0.6943886280059814,0.724047064781189,0.5373907222630028,0.624522003108432,0.5120304223459319,,,,,,,
resnet34,transfer,7,0.8416985869407654,0.6702563166618347,0.7402072548866272,0.5789723795068727,0.6453173529543397,0.5523442521149947,,,,,,,
resnet34,transfer,8,0.8282172083854675,0.6861899495124817,0.7326541543006897,0.5762486460699223,0.6079023331511754,0.5617442096408929,,,,,,,
resnet34,transfer,9,0.8213638663291931,0.6497227549552917,0.7468821406364441,0.548120089919961,0.6495971209496026,0.5050170259361992,,,,,,,
resnet34,transfer,10,0.7826535105705261,0.6532959938049316,0.7453012466430664,0.5688713533069848,0.6545593946434975,0.5442938456984787,,,,,,,
resnet34,transfer,11,0.8369211554527283,0.65935218334198,0.7416124939918518,0.5379207435919591,0.6386256714721685,0.5026559169230784,,,,,,,
resnet34,transfer,12,0.8080202341079712,0.6599888801574707,0.741963803768158,0.5543167659987003,0.6563975197073584,0.5179322787636484,,,,,,,
resnet34,transfer,13,0.7789603471755981,0.6441233158111572,0.7472334504127502,0.5497208810798696,0.6836508396706856,0.4953287653700444,,,,,,,
resnet34,transfer,14,0.7487443089485168,0.6729754209518433,0.7393289804458618,0.5366538255476819,0.6532788289934492,0.4847619322506445,,,,,,,
resnet34,transfer,15,0.777955174446106,0.6503077745437622,0.735640287399292,0.5182363448885212,0.7173544866879403,0.4549653671025319,,,,,,,
resnet34,transfer,16,0.809289813041687,0.6123312711715698,0.757597029209137,0.5533162527921048,0.679781275380704,0.5118020864667766,,,,,,,
resnet34,transfer,17,0.7644278407096863,0.6511312127113342,0.7493413090705872,0.5365318189384103,0.6882064751299863,0.5242915302101349,,,,,,,
resnet34,transfer,18,0.7661533355712891,0.6500130295753479,0.7447742819786072,0.5431205679474849,0.6902988323126902,0.5036823323154688,,,,,,,
